LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO,VALOR_HORA,VALOR_DURACION,outlier
5000,prueba,cesar,192.168.1.62,11452,2020-11-25,12:26:31.337,2020-11-25 12:26:31,SELECT,0.938,OK,0.15957275155774775,0.09591982820329277,0
5001,prueba,cesar,192.168.1.62,11452,2020-11-25,12:27:31.367,2020-11-25 12:27:31,SELECT,0.725,OK,0.16103789373133204,0.07413845996523162,0
5002,prueba,cesar,192.168.1.62,11452,2020-11-25,12:27:31.396,2020-11-25 12:27:31,idle,0.0,OK,0.16103860152948346,0.0,0
5003,prueba,cesar,192.168.1.62,11454,2020-11-25,12:27:31.397,2020-11-25 12:27:31,,0.0,OK,0.16103862593631624,0.0,0
5004,prueba,cesar,192.168.1.62,11454,2020-11-25,12:27:31.473,2020-11-25 12:27:31,authentication,0.0,OK,0.16104048085560996,0.0,0
5005,prueba,cesar,192.168.1.62,11454,2020-11-25,12:28:31.504,2020-11-25 12:28:31,SET,0.223,OK,0.1625056474360268,0.022803967685857452,0
5006,prueba,cesar,192.168.1.62,11454,2020-11-25,12:28:31.536,2020-11-25 12:28:31,SELECT,1.683,OK,0.16250642845467678,0.172103487064117,0
5007,prueba,cesar,192.168.1.62,11454,2020-11-25,12:28:31.568,2020-11-25 12:28:31,SELECT,2.758,OK,0.16250720947332653,0.28203292770221905,0
5008,prueba,cesar,192.168.1.62,12587,2020-11-25,12:28:35.311,2020-11-25 12:28:35,SELECT,2.092,OK,0.16259856424853447,0.2139278044789856,0
5009,prueba,cesar,192.168.1.62,12587,2020-11-25,12:29:35.342,2020-11-25 12:29:35,SELECT,3.131,OK,0.16406373082895154,0.320175887105021,1
5010,prueba,cesar,192.168.1.62,12587,2020-11-25,12:29:35.418,2020-11-25 12:29:35,SELECT,0.889,OK,0.16406558574824504,0.09090909090909091,0
5011,prueba,cesar,192.168.1.62,12587,2020-11-25,12:29:35.462,2020-11-25 12:29:35,SELECT,0.658,OK,0.16406665964888856,0.06728704366499642,0
5012,prueba,cesar,192.168.1.62,12587,2020-11-25,12:29:35.493,2020-11-25 12:29:35,idle,0.0,OK,0.16406741626070576,0.0,0
5013,prueba,cesar,192.168.1.62,12588,2020-11-25,12:30:35.551,2020-11-25 12:30:35,,0.0,OK,0.16553324182560847,0.0,0
5014,prueba,cesar,192.168.1.62,12588,2020-11-25,12:30:35.629,2020-11-25 12:30:35,authentication,0.0,OK,0.16553514555856774,0.0,0
5015,prueba,cesar,192.168.1.62,11452,2020-11-25,12:30:31.102,2020-11-25 14:26:31,,0.0,OK,0.16542465582643706,0.0,0
5016,prueba,cesar,192.168.1.62,11449,2020-11-25,12:30:31.107,2020-11-25 12:30:30,idle,0.0,OK,0.16542477786060095,0.0,0
5017,prueba,cesar,192.168.1.62,11452,2020-11-25,12:31:31.166,2020-11-25 12:31:31,authentication,0.0,OK,0.16689062783233666,0.0,0
5018,prueba,cesar,192.168.1.62,11452,2020-11-25,12:31:31.196,2020-11-25 12:31:31,SET,0.18,OK,0.16689136003732108,0.018406790060333366,0
5019,prueba,cesar,192.168.1.62,11452,2020-11-25,12:31:31.229,2020-11-25 12:31:31,SELECT,2.095,OK,0.1668921654628036,0.2142345843133245,0
5020,prueba,cesar,192.168.1.62,11452,2020-11-25,12:32:31.261,2020-11-25 12:32:31,SELECT,4.084,OK,0.16835735645005367,0.4176296144800082,0
5021,prueba,cesar,192.168.1.62,11452,2020-11-25,12:32:31.337,2020-11-25 12:32:31,SELECT,0.938,OK,0.16835921136934695,0.09591982820329277,0
5022,prueba,cesar,192.168.1.62,11452,2020-11-25,12:32:31.367,2020-11-25 12:32:31,SELECT,0.725,OK,0.16835994357433137,0.07413845996523162,0
5023,prueba,cesar,192.168.1.62,11452,2020-11-25,12:32:31.396,2020-11-25 12:32:31,idle,0.0,OK,0.1683606513724828,0.0,0
5024,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.397,2020-11-25 12:33:31,,0.0,OK,0.16982508574791566,0.0,0
5025,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.473,2020-11-25 12:33:31,authentication,0.0,OK,0.16982694066720916,0.0,0
5026,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.504,2020-11-25 12:33:31,SET,0.223,OK,0.16982769727902614,0.022803967685857452,0
5027,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.536,2020-11-25 12:33:31,SELECT,1.683,OK,0.1698284782976761,0.172103487064117,0
5028,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.568,2020-11-25 12:33:31,SELECT,2.758,OK,0.1698292593163261,0.28203292770221905,0
5029,prueba,cesar,192.168.1.62,11457,2020-11-25,12:34:32.387,2020-11-25 12:34:32,SELECT,2.273,OK,0.17131365848099722,0.2324368544840986,0
5030,prueba,cesar,192.168.1.62,11457,2020-11-25,12:34:32.416,2020-11-25 12:34:32,idle,0.0,OK,0.17131436627914887,0.0,0
5031,prueba,cesar,192.168.1.62,11458,2020-11-25,12:34:32.417,2020-11-25 12:34:32,,0.0,OK,0.17131439068598164,0.0,0
5032,prueba,cesar,192.168.1.62,11458,2020-11-25,12:34:32.494,2020-11-25 12:34:32,authentication,0.0,OK,0.17131627001210814,0.0,0
5033,prueba,cesar,192.168.1.62,11458,2020-11-25,12:35:32.524,2020-11-25 12:35:32,SET,0.173,OK,0.1727814121856922,0.017690970446875957,0
5034,prueba,cesar,192.168.1.62,11458,2020-11-25,12:35:32.557,2020-11-25 12:35:32,SELECT,2.178,OK,0.17278221761117496,0.22272215973003376,0
5035,prueba,cesar,192.168.1.62,11458,2020-11-25,12:35:32.590,2020-11-25 12:35:32,SELECT,4.621,OK,0.1727830230366577,0.47254320482666945,1
5036,prueba,cesar,192.168.1.62,11458,2020-11-25,12:35:32.664,2020-11-25 12:35:32,SELECT,0.686,OK,0.17278482914228566,0.07015032211882606,0
5037,prueba,cesar,192.168.1.62,11458,2020-11-25,12:36:32.694,2020-11-25 12:36:32,SELECT,1.102,OK,0.17424997131586972,0.11269045914715208,1
5038,prueba,cesar,192.168.1.62,11458,2020-11-25,12:36:32.724,2020-11-25 12:36:32,idle,0.0,OK,0.17425070352085414,0.0,0
5039,prueba,cesar,192.168.1.62,11461,2020-11-25,12:36:32.786,2020-11-25 12:36:32,,0.0,OK,0.1742522167444881,0.0,0
5040,prueba,cesar,192.168.1.62,11461,2020-11-25,12:36:32.861,2020-11-25 12:36:32,authentication,0.0,OK,0.17425404725694904,0.0,0
5041,prueba,cesar,192.168.1.62,11461,2020-11-25,12:36:32.892,2020-11-25 12:36:32,SET,0.229,OK,0.17425480386876602,0.02341752735453523,0
5042,prueba,cesar,192.168.1.62,11461,2020-11-25,12:37:32.925,2020-11-25 12:37:32,SELECT,2.231,OK,0.17572001926284864,0.22814193680335412,0
5043,prueba,cesar,192.168.1.62,11461,2020-11-25,12:37:32.958,2020-11-25 12:37:32,SELECT,4.443,OK,0.1757208246883316,0.45434093465589526,0
5044,prueba,cesar,192.168.1.62,12588,2020-11-25,12:37:35.874,2020-11-25 12:37:35,SELECT,0.488,OK,0.1757919950128054,0.04990285305245935,0
5045,prueba,cesar,192.168.1.62,12588,2020-11-25,12:37:35.905,2020-11-25 12:37:35,idle,0.0,OK,0.1757927516246226,0.0,0
5046,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.546,2020-11-25 12:27:44,,0.0,OK,0.1774680610355336,0.0,0
5047,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.624,2020-11-25 12:38:44,authentication,0.0,OK,0.17746996476849286,0.0,0
5048,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.654,2020-11-25 12:38:44,SET,0.378,OK,0.17747069697347706,0.03865425912670008,0
5049,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.685,2020-11-25 12:38:44,SELECT,2.19,OK,0.17747145358529426,0.22394927906738932,0
5050,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.717,2020-11-25 12:38:44,SELECT,2.671,OK,0.17747223460394423,0.27313631250639125,0
5051,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.808,2020-11-25 12:39:44,SELECT,1.597,OK,0.1789388655943297,0.16330913181306883,0
5052,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.839,2020-11-25 12:39:44,SELECT,1.906,OK,0.17893962220614668,0.19490745474997442,0
5053,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.872,2020-11-25 12:39:44,SELECT,4.015,OK,0.17894042763162965,0.41057367829021374,0
5054,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.899,2020-11-25 12:39:44,SELECT,1.369,OK,0.17894108661611552,0.13999386440331324,1
5055,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:44.929,2020-11-25 12:40:44,SELECT,0.59,OK,0.18040622878969959,0.06033336741998159,0
5056,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:44.960,2020-11-25 12:40:44,SELECT,0.871,OK,0.18040698540151678,0.08906841190305757,0
5057,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:44.990,2020-11-25 12:40:44,SELECT,0.845,OK,0.18040771760650098,0.0864096533387872,0
